-190.199 -3.43377 34.6611  1 385
-189.573 -15.6341 23.0258  1 386
-184.44 -16.3791 15.4972  1 387
-187.873 -17.5838 10.9239  1 388
-187.398 -7.93934 26.8791  1 389
-177.129 -2.24204 17.0109  1 390
-202.053 0.395805 25.9453  1 391
-191.436 -16.5169 15.6505  1 392
-195.907 -23.7787 12.7836  1 393
-174.34 -12.5829 15.1254  1 394
-199.219 -18.4856 24.7121  1 395
-181.297 -6.15492 22.3563  1 396
-236.99 3.7822 10.7846  1 397
-195.854 -26.213 13.8496  1 398
-190.08 -16.444 14.2511  1 399
-220.928 -27.8904 25.1941  1 400
-195.741 -17.0755 32.1911  1 401
-189.022 -15.1813 24.7391  1 402
-204.551 -15.9393 22.2267  1 403
-194.447 -19.7798 30.3462  1 404
-198.065 2.25778 11.5259  1 405
-197.977 -5.76702 27.4933  1 406
-199.935 -32.2226 7.63866  1 407
-236.926 -6.36253 23.5654  1 408
-198.609 3.13192 27.6492  1 409
-198.12 -4.92662 24.9867  1 410
-214.286 -3.10299 26.0083  1 411
-225.244 -0.0766594 21.3899  1 412
-207.452 -5.62826 32.127  1 413
-195.799 -16.663 22.5107  1 414
-196.753 -10.0799 11.3052  1 415
-193.283 -9.6575 20.7235  1 416
-195.125 -14.4214 26.6826  1 417
-218.213 -6.86542 21.926  1 418
-198.331 -7.53903 19.4853  1 419
-211.079 -21.218 9.04721  1 420
-203.819 -12.4563 29.3255  1 421
-199.855 2.43106 12.0012  1 422
-217.939 -9.16702 15.3217  1 423
-198.741 -1.68845 34.5543  1 424
-212.201 -13.2407 28.9667  1 425
-229.607 -21.6056 0.923124  1 426
-203.452 -12.2853 13.0844  1 427
-196.562 -13.9366 11.7325  1 428
-220.634 -18.3687 16.5269  1 429
-227.709 -36.3261 38.1457  1 430
-193.212 -5.29513 22.1855  1 431
-211.107 8.06578 23.6007  1 432
-206.874 3.5708 16.1603  1 433
-214.787 -22.4534 26.2831  1 434
-219.647 -9.3576 31.5567  1 435
-206.008 -13.3075 31.7138  1 436
-202.573 -20.6465 23.0178  1 437
-200.352 -19.8256 15.6687  1 438
-208.172 3.51696 19.6682  1 439
-238.117 -40.8917 30.2349  1 440
-216.568 -4.19379 14.9452  1 441
-197.838 -16.4316 23.2175  1 442
-229.516 -16.7996 -1.61859  1 443
-231.796 -2.16722 23.6871  1 444
-191.672 -14.2967 22.3751  1 445
-220.851 -26.7248 31.967  1 446
-221.737 -3.12602 14.2358  1 447
-209.907 -13.9167 36.738  1 448
-196.936 -2.22285 13.3391  1 449
-201.95 2.74349 8.78209  1 450
-208.854 -3.91976 12.7508  1 451
-252.476 3.72841 26.1537  1 452
-261.145 -6.14739 45.6302  1 453
-203.608 0.634338 28.6717  1 454
-195.516 -3.68881 20.6626  1 455
-215.132 -1.07079 34.9145  1 456
-197.177 -9.79367 24.0186  1 457
-220.199 0.693868 11.2451  1 458
-260.618 -6.54602 32.3725  1 459
-220.092 0.8704 22.8938  1 460
5.45333e+12 -1.0737e+11 -6.2538e+11  1 461
-225.9 -18.0523 29.7812  1 462
-228.315 3.11032 32.2809  1 463
-217.398 3.80072 11.2565  1 464
-229.056 -18.4983 49.383  1 465
-238.964 -5.60707 30.9149  1 466
-212.329 -12.5492 29.1568  1 467
-223.364 -8.3751 32.5906  1 468
-256.536 17.7372 49.6343  1 469
-226.53 -14.7686 1.21462  1 470
-217.012 -27.9076 38.4219  1 471
-232.493 -28.2509 26.9359  1 472
-209.358 -7.60979 15.6681  1 473
-237.582 -17.605 24.5629  1 474
-215.546 -8.80096 21.562  1 475
-228.103 -16.2409 23.2772  1 476
-237.614 -0.274597 47.1424  1 477
-229.129 3.88052 24.7773  1 478
-240.717 -8.82487 42.8039  1 479
-231.634 2.65695 20.1415  1 480
-245.655 1.62111 -0.301039  1 481
-234.479 -24.3825 14.9794  1 482
-227.632 -4.539 35.3474  1 483
-239.127 -23.6985 36.7772  1 484
-249.707 -5.61274 18.3794  1 485
-241.668 -3.42423 6.53427  1 486
-220.827 -8.51418 26.4112  1 487
-238.027 -8.88099 20.8271  1 488
-223.607 -18.165 19.9985  1 489
-230.588 -12.4195 34.768  1 490
-243.565 3.24526 33.1307  1 491
-249.3 -1.44364 22.7136  1 492
-236.786 -7.78964 28.6311  1 493
-243.426 -10.2728 46.3283  1 494
-243.812 -7.02138 12.1255  1 495
-257.386 -19.0156 27.5633  1 496
-242.496 -13.7891 8.28291  1 497
-291.319 -1.40502 18.9662  1 498
-248.167 -31.869 35.1342  1 499
-257.274 -20.1319 23.7432  1 500
-261.843 0.610106 31.2289  1 501
-252.562 -29.2212 24.9864  1 502
-242.126 -6.53226 20.3814  1 503
-237.429 -17.4985 33.433  1 504
-259.26 -24.2704 30.3283  1 505
-253.92 -11.766 20.1111  1 506
-253.453 2.68302 22.8562  1 507
-256.076 -20.776 33.8536  1 508
-242.346 -18.9157 23.789  1 509
-245.14 -20.3924 40.1901  1 510
-277.525 -28.6317 10.8779  1 511
-262.049 -29.3809 25.2611  1 512
-253.082 -4.86856 10.1727  1 513
-262.745 -13.7984 46.6553  1 514
-259.463 -15.9784 24.6901  1 515
-260.831 -16.8777 18.1701  1 516
-249.41 -13.8297 30.7158  1 517
-256.379 -15.3727 22.8317  1 518
-278.261 3.65553 36.6645  1 519
-249.115 -6.61299 16.8867  1 520
-256.803 -4.97195 34.6492  1 521
-262.761 -28.6564 31.8354  1 522
-248.459 -13.327 29.4193  1 523
-268.909 -18.7109 7.96535  1 524
-247.441 -13.6617 42.4567  1 525
-266.518 9.1448 23.431  1 526
-249.702 -26.2078 12.6995  1 527
-277.272 -7.34781 27.6222  1 528
-267.848 -39.9241 38.7726  1 529
-250.011 -17.9686 40.1244  1 530
-260.963 -11.4623 40.3111  1 531
-276.081 -29.5787 15.7698  1 532
-287.466 -11.8172 27.6375  1 533
-268.313 -2.89337 28.362  1 534
-302.841 7.94779 46.8362  1 535
-266.735 -10.3224 13.8168  1 536
-254.172 -13.2143 32.8534  1 537
-260.457 -18.2624 17.6777  1 538
-284.543 -6.66947 21.634  1 539
-271.525 -27.8806 42.8987  1 540
-269.03 -5.11397 23.1616  1 541
-274.919 -19.1636 24.1241  1 542
-288.544 18.4846 7.36136  1 543
-289.189 -36.324 45.2267  1 544
-278.524 -18.0746 10.4358  1 545
-284.676 -28.0895 46.0844  1 546
-280.664 -15.6359 24.7937  1 547
-268.834 -9.70591 70.6501  1 548
-277.559 -10.2663 23.3462  1 549
-275.704 -2.63153 25.3588  1 550
-291.844 -19.7675 49.6755  1 551
-290.237 -24.7421 40.6903  1 552
-277.176 -10.5409 40.9205  1 553
-281.513 -6.06094 37.7054  1 554
-287.373 -6.90057 37.3888  1 555
-285.552 -19.9329 21.3242  1 556
-274.356 -12.0379 25.3492  1 557
-280.274 -17.8708 43.8955  1 558
-314.316 4.82266 11.8613  1 559
-279.523 -21.4787 32.0217  1 560
-310.372 -14.2079 34.2081  1 561
-312.965 10.7616 34.6759  1 562
-300.117 -19.6591 28.4301  1 563
-290.65 3.57477 38.4073  1 564
-275.336 -20.0219 22.3652  1 565
-291.622 -11.5778 35.5237  1 566
-292.602 4.96632 17.3496  1 567
-284.388 -8.64139 27.684  1 568
-284.126 -17.7431 30.5953  1 569
-290.733 -3.04075 39.9294  1 570
-309.854 -18.4504 38.5693  1 571
-285.764 -23.7161 26.0796  1 572
-297.177 -21.5001 10.4507  1 573
-294.525 -6.77519 20.6481  1 574
-353.574 -24.1577 7.19019  1 575
-317.106 -9.22466 14.4764  1 576
-282.947 -12.426 37.0735  1 577
-307.866 -14.1835 38.7884  1 578
-320.832 -11.22 40.2839  1 579
-310.596 -7.9264 47.0979  1 580
-312.909 18.3373 34.5047  1 581
-280.855 -8.18762 30.4269  1 582
-321.55 -18.5599 32.384  1 583
-312.394 -10.4193 19.0002  1 584
-320.112 -0.703192 13.2981  1 585
-312.381 -3.2467 32.8494  1 586
-287.242 -5.53095 36.3393  1 587
-289.625 -6.0733 33.1753  1 588
-315.866 1.47932 19.1714  1 589
-315.802 -5.02861 33.9132  1 590
-323.732 -19.9183 5.45901  1 591
-303.445 5.16454 17.43  1 592
-286.047 -8.06107 31.9547  1 593
-295.844 -21.9887 16.2388  1 594
-319.603 -9.90309 39.8717  1 595
-314.669 -20.7792 36.9046  1 596
-304.39 -9.26757 41.6927  1 597
-312.739 -15.34 26.2148  1 598
-317.52 -29.123 12.8803  1 599
-318.438 -4.06085 16.6311  1 600
-293.744 -7.13549 32.3193  1 601
-309.723 6.33784 48.5687  1 602
-320.051 -15.0237 49.8387  1 603
-324.82 -6.45093 45.8314  1 604
-316.536 -4.28181 15.3709  1 605
-320.466 -0.556227 37.1375  1 606
-316.406 -2.35828 33.2625  1 607
-319.074 -0.958046 21.1388  1 608
-315.935 -6.81691 40.1684  1 609
-345.478 15.8225 12.117  1 610
-341.789 -7.02456 47.8254  1 611
-317.729 -21.0783 27.1225  1 612
-342.712 -29.6337 30.3685  1 613
-317.673 -6.87075 16.4821  1 614
-355.245 -23.2719 15.4756  1 615
-315.032 -16.6525 14.2362  1 616
-324.947 -13.5433 16.0313  1 617
-315.286 -22.5905 19.6905  1 618
-333.635 -9.1309 37.9982  1 619
-314.463 -7.36446 29.4195  1 620
-355.552 -28.06 43.6271  1 621
-343.347 -5.54555 17.2287  1 622
-338.275 -23.5205 35.0827  1 623
-315.616 -3.86985 28.3962  1 624
-343.558 -39.3072 34.1037  1 625
-343.915 -27.7837 17.9152  1 626
-343.553 -7.55271 37.3253  1 627
-333.579 -26.0374 46.9917  1 628
-341.295 -8.48955 15.6126  1 629
-342.492 -20.6106 11.645  1 630
-316.838 -11.7099 39.5309  1 631
-315.021 -4.80698 28.1741  1 632
-320.378 0.22165 22.6284  1 633
-340.484 -25.7006 25.7319  1 634
-341.756 -8.0925 28.5479  1 635
-353.883 -6.32937 49.0135  1 636
-336.061 0.371555 35.8329  1 637
-355.128 -14.7477 24.904  1 638
-361.4 -33.1729 28.8758  1 639
-339.791 -20.1821 45.9111  1 640
-341.023 -15.4643 23.4489  1 641
-356.764 -5.40793 18.7194  1 642
-349.061 1.26044 42.4498  1 643
-356.592 -11.1392 19.9182  1 644
-338.574 -13.398 25.7292  1 645
-328.222 -15.2288 35.5714  1 646
-342.248 -17.8944 29.8942  1 647
-349.438 5.33972 14.2461  1 648
-340.029 3.13794 47.0123  1 649
-371.876 -9.21758 19.2822  1 650
-346.077 -19.9767 35.7626  1 651
-341.864 -22.8118 19.3214  1 652
-353.043 0.0602532 20.7542  1 653
-364.203 -11.8652 49.6317  1 654
-347.513 7.53846 54.027  1 655
-363.239 -14.3489 32.624  1 656
-351.883 -8.33879 48.8855  1 657
-342.62 -4.24242 39.872  1 658
-337.836 -9.27782 17.3328  1 659
-343.528 -23.9217 14.9229  1 660
-362.269 -8.1262 35.0345  1 661
-360.057 -28.5578 20.8919  1 662
-338.779 -4.15494 29.7329  1 663
-357.331 -0.833993 46.6835  1 664
-359.077 -17.033 25.614  1 665
-342.312 -13.7075 28.8749  1 666
-353.222 -10.4362 27.238  1 667
-358.969 -23.7034 42.4998  1 668
-366.324 -8.72207 34.3855  1 669
-349.967 -3.73165 36.5728  1 670
-351.45 -23.0515 41.6002  1 671
-349.527 -12.466 38.1902  1 672
-349.674 -16.1759 25.8986  1 673
-356.085 -0.367708 79.0332  1 674
-341.35 -6.35176 33.3063  1 675
-360.045 -10.3923 37.5665  1 676
-362.339 -24.1167 32.1944  1 677
-377.084 9.64174 37.3975  1 678
-372.594 -18.3485 29.2669  1 679
-364.531 -26.8444 46.7355  1 680
-370.519 -16.0472 9.23404  1 681
-355.852 -17.6217 22.0642  1 682
-372.833 0.0724677 43.2495  1 683
-391.242 0.188857 36.2822  1 684
-360.302 -11.4838 29.1654  1 685
-360.69 -1.60811 24.4102  1 686
-377.281 -27.4197 27.0557  1 687
-365.674 -27.9893 43.9555  1 688
-371.27 -23.8106 41.4336  1 689
-376.284 -12.3104 41.4859  1 690
-365.13 0.13107 15.3848  1 691
-383.09 -20.7976 24.5724  1 692
-365.103 -18.8602 27.6108  1 693
-361.825 -14.8009 33.189  1 694
-370.053 -6.93663 22.3389  1 695
-371.81 -11.0069 30.0329  1 696
-370.05 -6.38422 37.2386  1 697
-372.289 -25.9683 19.4269  1 698
-376.321 -24.6645 21.5756  1 699
